model,lead,fold,test_years,group,n_cells,n_flooded,base_rate,precision,recall,f1,csi,pr_auc,brier,threshold
persistence,6,6,2020-2021,recurring,383832,84963,0.2213546551616332,0.4669251571317437,0.4450525522874663,0.4557265616525857,0.295107427438677,0.3306464338299452,0.2353112820192167,0.5
climatology,6,6,2020-2021,recurring,383832,84963,0.2213546551616332,0.4941004327387067,0.3735979190941939,0.4254817197815086,0.2702297744821774,0.4492598788650588,0.163964009701911,0.18
persistence,6,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.6331089231381843,0.6162899342180094,0.6245862228805121,0.4541078715879779,0.4089134221033171,0.0361724517462618,0.5
climatology,6,7,2022-2023,all,59601600,2910067,0.0488253167700196,0.1125098190629618,0.023231080246606,0.0385104953404203,0.0196332915618143,0.055756008941399,0.0484854313910414,0.055
persistence,6,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.6372772034375624,0.6184274092593702,0.6277108261241495,0.4574187700914835,0.4123824995086867,0.0351291524530272,0.5
climatology,6,7,2022-2023,unusual,59217768,2835830,0.0478881608641514,0.0387987263770404,0.0063766163698106,0.0109530809818098,0.0055066981462742,0.047862121724873,0.0478619130349634,0.055
persistence,6,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.491158163075895,0.5346390613844848,0.5119770906698656,0.3440653282013939,0.3525978625479793,0.1971331207403238,0.5
climatology,6,7,2022-2023,recurring,383832,74237,0.1934101377686071,0.3673664688427299,0.6670662877002034,0.4738012887670603,0.310445347175205,0.4132155278428241,0.1446821147159858,0.055
persistence,6,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.6488504384925338,0.6478596728406474,0.6483546771638827,0.4796781124529468,0.4359921031916556,0.031188374137607,0.5
climatology,6,8,2024-2025,all,59601600,2645133,0.0443802347587984,0.0638863675447777,0.0848290048175271,0.0728830771714347,0.0378197484065778,0.051045989617937,0.0440732239124289,0.005
persistence,6,8,2024-2025,unusual,59217768,2585140,0.0436548030651881,0.6527333283967867,0.6512842631346851,0.6520079906423436,0.4836883201948933,0.4403380616269389,0.0303493201567475,0.5
climatology,6,8,2024-2025,unusual,59217768,2585140,0.0436548030651881,0.0524523605846075,0.067076057776368,0.0588696415015678,0.0303275054371446,0.0441646376734891,0.0435857056773353,0.005
persistence,6,8,2024-2025,recurring,383832,59993,0.1563001521498989,0.4865057624041625,0.5002917006984148,0.493302434133754,0.3274064054455013,0.3214992784841624,0.1606379874528439,0.5
climatology,6,8,2024-2025,recurring,383832,59993,0.1563001521498989,0.2470585384764489,0.8498158118447152,0.3828227953129868,0.2367228490504712,0.3576420109425718,0.1192877493859498,0.005
persistence,9,1,2010-2011,all,59601600,173920,0.0029180424686585,0.0428006310758451,0.042427552897884,0.0426132754299442,0.021770493737922,0.0046101631064945,0.0055630385761456,0.5
climatology,9,1,2010-2011,all,59601600,173920,0.0029180424686585,0.0482008735166698,0.1883337166513339,0.0767570582280379,0.0399102248399874,0.0293361231155777,0.0030363535658122,0.005
persistence,9,1,2010-2011,unusual,59217768,144266,0.0024361944881137,0.0115077138849929,0.0113748215102657,0.0114408818054422,0.0057533526163555,0.0025393814020801,0.0047888329732387,0.5
climatology,9,1,2010-2011,unusual,59217768,144266,0.0024361944881137,0.0232492441389237,0.0958368569170837,0.0374205631759573,0.0190670311090762,0.0045674837449939,0.0026241995338976,0.005
persistence,9,1,2010-2011,recurring,383832,29654,0.077257758602722,0.1925244933565964,0.1934983476090915,0.1930101920683508,0.1068131049888309,0.0995616813118921,0.1250078159194647,0.5
climatology,9,1,2010-2011,recurring,383832,29654,0.077257758602722,0.2230457427002568,0.6383287246239968,0.3305798113866573,0.1980207341695347,0.2326816484597555,0.0666236569750836,0.005
persistence,9,2,2012-2013,all,59601600,188131,0.0031564756650828,0.0449405829398655,0.0406259468136564,0.0426744835287548,0.0218024458219348,0.0048539945848842,0.0057534361493651,0.5
climatology,9,2,2012-2013,all,59601600,188131,0.0031564756650828,0.2066763933469506,0.1882411723745687,0.1970284938564207,0.1092798711377585,0.0726304332463584,0.0030959488168571,0.13
persistence,9,2,2012-2013,unusual,59217768,152182,0.002569870583437,0.0148319997701578,0.0135692788897504,0.0141725690440893,0.00713685833077,0.0027362588341538,0.0048512128994797,0.5
climatology,9,2,2012-2013,unusual,59217768,152182,0.002569870583437,0.1531765854757835,0.1071940176893456,0.1261249420132983,0.0673070178695944,0.0323313177407642,0.0026213785393758,0.13
persistence,9,2,2012-2013,recurring,383832,35949,0.093658162946289,0.1808514087475278,0.1551642604801246,0.167025991136663,0.0911229457313686,0.1071874384498999,0.1449488317805706,0.5
climatology,9,2,2012-2013,recurring,383832,35949,0.093658162946289,0.2945321655461667,0.5313360594175082,0.3789843354728624,0.2337943696450428,0.2816091194025093,0.0763128577550991,0.13
persistence,9,3,2014-2015,all,59601600,426837,0.0071615023757751,0.1135496094584428,0.1145730103060418,0.1140590142981921,0.0604785702007254,0.0193507080649979,0.0127465202276448,0.5
climatology,9,3,2014-2015,all,59601600,426837,0.0071615023757751,0.217102621331117,0.108931512497745,0.1450726439657848,0.0782093398395645,0.0624673132831363,0.0068726423219785,0.105
persistence,9,3,2014-2015,unusual,59217768,365599,0.0061738058077433,0.0938251367608176,0.0942480696063173,0.0940361276448257,0.0493378332132951,0.014434774548495,0.0112117025417101,0.5
climatology,9,3,2014-2015,unusual,59217768,365599,0.0061738058077433,0.1151285732933037,0.0434246264349738,0.0630629378129363,0.0325580727655289,0.0227373332837248,0.0061237389225723,0.105
persistence,9,3,2014-2015,recurring,383832,61238,0.1595437587277767,0.2277377555685168,0.2359156079558444,0.2317545618608381,0.1310647022535109,0.1756317869513988,0.2495388607515788,0.5
climatology,9,3,2014-2015,recurring,383832,61238,0.1595437587277767,0.4014789951224629,0.5000163297299063,0.4453623841868718,0.2864734389910746,0.3730873424931124,0.1224137846979423,0.105
persistence,9,4,2016-2017,all,59601600,218779,0.0036706900485892,0.0998863269449371,0.1032228870229775,0.1015272014494252,0.053478354563172,0.0136023458657848,0.0067061958068239,0.5
climatology,9,4,2016-2017,all,59601600,218779,0.0036706900485892,0.108617332679903,0.1499321232842274,0.1259737890643752,0.0672209323056808,0.059321860784723,0.0036700847936587,0.085
persistence,9,4,2016-2017,unusual,59217768,165170,0.0027891966478709,0.0496211902145624,0.0519464793848761,0.0507572172266919,0.0260394537177541,0.0052219538362357,0.0054193194177801,0.5
climatology,9,4,2016-2017,unusual,59217768,165170,0.0027891966478709,0.0271601177784546,0.0356299570139855,0.0308237832854958,0.0156531360798802,0.0049368719329466,0.0029758489073301,0.085
